"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
7,2018,9,23,"2018-09-23",0.667490729295426,0.00568624707692923,0.0038175986860358,1,0.120879120879121,0.121428571428571,0,0.732926829268293,0.734666666666667,0,0,0.341625207296849
4,2018,12,20,"2018-12-20",0.405438813349815,0.00410728918913517,0.00346247322686969,0.959183673469388,0.230769230769231,0.166666666666667,0,0.365853658536585,0.306666666666667,0,0,0.890547263681592
2,2013,11,5,"2013-11-05",0.466007416563659,0.00370755301501009,0.00541566325228334,1,0.17032967032967,0.166666666666667,0,0.390243902439024,0.532,0,0,0.399668325041459
3,2012,7,11,"2012-07-11",0.881334981458591,0.00686546879059821,0.00342918021507285,1,0.0604395604395604,0.166666666666667,0,0.804878048780488,0.892,0,0,0.490878938640133
4,2012,7,12,"2012-07-12",0.88504326328801,0.00668558751224192,0.0036289382858538,1,0.0824175824175824,0.166666666666667,0,0.853658536585366,0.786666666666667,0,0,0.51077943615257
4,2012,8,9,"2012-08-09",0.894932014833127,0.00762496752143585,0.00273002696733956,0.928571428571429,0.0824175824175824,0.166666666666667,0.253807106598985,0.853658536585366,0.84,0,0,0.517412935323383
1,2012,9,17,"2012-09-17",0.750309023485785,0.00546639218116043,0.00325161748548979,1,0.0769230769230769,0.166666666666667,0,0.719512195121951,0.669333333333333,0,0,0.303482587064677
4,2020,9,10,"2020-09-10",0.803461063040791,0.00761497411708273,0.00400625908621779,0.0612244897959184,0.197802197802198,0.166666666666667,0,0.719512195121951,0.918666666666667,0,1,0.129353233830846
2,2017,9,26,"2017-09-26",0.742892459826947,0.00719525113425139,0.00308515242650567,0.244897959183673,0.142857142857143,0.166666666666667,0,0.719512195121951,0.813333333333333,0.0012001200120012,1,0.641791044776119
1,2014,11,10,"2014-11-10",0.524103831891224,0.00488677472867907,0.00335149652088027,0.959183673469388,0.175824175824176,0.166666666666667,0,0.5,0.546666666666667,0,0,0.482587064676617
1,2016,7,11,"2016-07-11",0.708281829419036,0.00650570623388563,0.00308515242650567,0.989795918367347,0.225274725274725,0.166666666666667,0,0.634146341463415,0.76,0.0001000100010001,0,0.5787728026534
1,2019,7,8,"2019-07-08",0.73053152039555,0.00633581835988248,0.00285210134392791,1,0.186813186813187,0.166666666666667,0,0.695121951219512,0.746666666666667,0,0,0.535655058043118
5,2014,7,18,"2014-07-18",0.788627935723115,0.0066056402774169,0.00351796157986439,0.959183673469388,0.230769230769231,0.166666666666667,0,0.74390243902439,0.866666666666667,0.0004000400040004,0,0.588723051409619
4,2016,9,22,"2016-09-22",0.758961681087763,0.00644574580776687,0.00354015692106227,1,0.159340659340659,0.166666666666667,0,0.74390243902439,0.798666666666667,0,0,0.648424543946932
5,2012,7,13,"2012-07-13",0.903584672435105,0.00673555453400756,0.00364003595645274,0.989795918367347,0.120879120879121,0.166666666666667,0,0.842682926829268,0.866666666666667,0,0,0.553897180762852
5,2012,8,24,"2012-08-24",0.88380716934487,0.00675554134271381,0.00351796157986439,0.928571428571429,0.0659340659340659,0.166666666666667,0,0.842682926829268,0.906666666666667,0,0,0.550580431177446
5,2012,10,26,"2012-10-26",0.679851668726823,0.00600603601622929,0.00372881732124427,1,0.0384615384615385,0.166666666666667,0,0.571951219512195,0.549333333333333,0,0,0.545605306799337
5,2019,3,1,"2019-03-01",0.258343634116193,0.00248835768392861,0.00420601715699876,1,0.175824175824176,0.166666666666667,0,0.208536585365854,0.24,0,0,0.733001658374793
5,2020,1,24,"2020-01-24",0.389369592088999,0.00403733535866328,0.00438357988658181,0.642857142857143,0.137362637362637,0.19047619047619,0,0.341463414634146,0.292,0,1,0.422885572139304
2,2014,12,16,"2014-12-16",0.472187886279357,0.00436711770231647,0.00340698487387498,0.959183673469388,0.186813186813187,0.19047619047619,0,0.365853658536585,0.468,0,0,0.623548922056385
3,2015,11,25,"2015-11-25",0.417799752781211,0.00334779045829752,0.00550444461707487,1,0.192307692307692,0.19047619047619,0,0.390243902439024,0.412,0,0,0.742951907131012
6,2020,10,3,"2020-10-03",0.687268232385661,0.00544640537245418,0.0035734499328591,1,0.225274725274725,0.19047619047619,0,0.609756097560976,0.693333333333333,0,0,0.0895522388059701
2,2020,9,29,"2020-09-29",0.762669962917182,0.00724521815601703,1,0.602040816326531,0.258241758241758,0.19047619047619,0,0.609756097560976,0.906666666666667,0,1,0.0796019900497512
3,2020,10,21,"2020-10-21",0.73053152039555,0.0069753962384826,0.00399516141561886,0.459183673469388,0.241758241758242,0.19047619047619,0,0.609756097560976,0.866666666666667,0.0003000300030003,1,0.114427860696517
6,2014,6,28,"2014-06-28",0.697156983930779,0.00585613495093238,0.00389528238022838,0.948979591836735,0.21978021978022,0.19047619047619,0,0.658536585365854,0.72,0.0002000200020002,0,0.567164179104478
6,2013,10,5,"2013-10-05",0.686032138442522,0.00643575240341375,0.00321832447369297,0.959183673469388,0.186813186813187,0.19047619047619,0,0.658536585365854,0.746666666666667,0.0013001300130013,0,0.378109452736318
7,2015,9,6,"2015-09-06",0.751545117428924,0.00625587112505746,0.00382869635663474,1,0.214285714285714,0.19047619047619,0,0.658536585365854,0.693333333333333,0,0,0.38971807628524
1,2014,8,25,"2014-08-25",0.710754017305315,0.00631583155117622,0.0034957662386665,1,0.164835164835165,0.19047619047619,0,0.658536585365854,0.746666666666667,0,0,0.464344941956882
7,2018,7,15,"2018-07-15",0.737948084054388,0.0068254951731857,0.00305185941470885,0.857142857142857,0.247252747252747,0.19047619047619,0,0.658536585365854,0.772,0,1,0.48922056384743
6,2012,7,28,"2012-07-28",0.861557478368356,0.00762496752143585,0.00257465957895438,0.693877551020408,0.17032967032967,0.19047619047619,0.269035532994924,0.804878048780488,0.933333333333333,0,1,0.404643449419569
1,2017,9,25,"2017-09-25",0.721878862793572,0.00703535666460136,0.00319612913249508,0.26530612244898,0.186813186813187,0.19047619047619,0,0.670731707317073,0.813333333333333,0,1,0.75787728026534
7,2014,6,8,"2014-06-08",0.73053152039555,0.00621589750764495,0.0026856362849438,0.979591836734694,0.21978021978022,0.19047619047619,0,0.719512195121951,0.772,0,0,0.409618573797678
