"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
1,2013,5,20,"2013-05-20",57.5,54.5,1020.4,2.9,10.3,17.1,22,62.1,55,0.33,1,0.715891378949821
6,2014,10,11,"2014-10-11",52.9,48.1,1019,8.1,8.1,17.1,20,62.1,50,0.15,0,-0.255220016254181
6,2020,1,18,"2020-01-18",23.5,14.3,1032.4,9.6,8.4,17.1,29.9,33.1,19,0,0,1.73949528200269
5,2019,3,8,"2019-03-08",27.2,10.7,1027.8,10,10.9,17.1,20,35.1,15.1,0,0,0.6721476224091
1,2013,12,16,"2013-12-16",32,15.5,1012.3,10,12.5,17.1,27,35.1,27,0.83,0,0.56716260671137
7,2017,12,17,"2017-12-17",27.6,13.8,1022.8,10,10.1,17.1,28,35.1,24.1,0.01,0,-0.246471264946037
2,2017,12,12,"2017-12-12",42.6,38.1,1007.4,9.7,10,17.1,20,51.1,26.1,0,0,0.978353918194146
6,2014,3,29,"2014-03-29",44.9,42.2,1021.6,4.5,10.2,17.1,22.9,51.1,41,0.02,0,-0.0539987361668655
2,2013,12,10,"2013-12-10",38.8,35.1,1012.4,6.7,9.1,17.1,25.1,51.1,33.1,0.2,1,-0.31646127541119
3,2018,11,28,"2018-11-28",41,30.4,992.9,10,12.5,17.1,28,51.1,36,0.03,0,-0.0190037309342888
2,2017,12,19,"2017-12-19",44.9,41.8,1009.8,9.3,10.3,17.1,22,51.1,41,0.01,0,0.715891378949821
3,2017,4,19,"2017-04-19",41.7,32.2,1033.5,10,10.5,17.1,20,53.1,32,0,0,0.0422375282227203
6,2017,11,18,"2017-11-18",43.5,31.4,1013,10,9.4,17.1,27,53.1,28,0,0,0.470926342321784
3,2016,12,28,"2016-12-28",39.1,26.8,1014.2,10,9.8,17.1,22,53.1,34,0.06,0,-0.255220016254181
3,2016,2,24,"2016-02-24",46.9,43.7,1020,6,12.7,17.1,22.9,53.6,41,0.03,0,0.742137632874253
1,2018,1,1,"2018-01-01",9.5,-0.5,1022.2,10,15,18.1,25.1,21,5,0,0,-1.06885388791159
1,2017,1,9,"2017-01-09",18.3,5.7,1035.5,10,11,18.1,22.9,28,15.1,0,0,0.820876394647551
3,2019,3,6,"2019-03-06",25.4,6,1014.7,10,13.5,18.1,27,30,21.9,0,0,0.120976289996018
2,2018,2,13,"2018-02-13",31.5,23,1039.1,10,9.7,18.1,22.9,34,28,0.14,0,0.330946321391478
4,2017,12,21,"2017-12-21",32.4,19.7,1018.5,10,10.7,18.1,24.1,36,26.1,0,0,1.45953524014207
6,2018,1,27,"2018-01-27",36.8,30.7,1034.3,10,12.2,18.1,24.1,46,17.1,0,0,-0.570175063347371
5,2016,12,23,"2016-12-23",39,28.8,1023.3,10,12.7,18.1,24.1,46,27,0,0,1.02209767473487
