"day","year","mo","da","collision_date","temp","dewp","slp","visib","wdsp","mxpsd","gust","max","min","prcp","fog","NUM_COLLISIONS"
7,2018,9,23,"2018-09-23",0.497229206708452,0.0092353808740431,-0.140128306901143,0.757096725442569,-1.86126233619172,-2.21902384014086,-1.19589711881875,1.20021940772289,0.551728320163126,-0.137599950115358,-0.589154395613699,-0.876381359132417
4,2018,12,20,"2018-12-20",-0.980723885315091,-0.0760271270225783,-0.142634711415377,0.571868445304025,-1.3101419476676,-1.84768546405198,-1.19589711881875,-0.874690407280232,-1.61489605931969,-0.137599950115358,-0.589154395613699,2.0194553238633
2,2013,11,5,"2013-11-05",-0.639121519705876,-0.0976125720596976,-0.128849486587089,0.757096725442569,-1.61325816135587,-1.84768546405198,-1.19589711881875,-0.736822645486005,-0.47421219597827,-0.137599950115358,-0.589154395613699,-0.570175063347371
3,2012,7,11,"2012-07-11",1.70329470161446,0.0729124437335451,-0.142869686838586,0.757096725442569,-2.16437854987999,-1.84768546405198,-1.19589711881875,1.60692930501586,1.34818214190447,-0.137599950115358,-0.589154395613699,-0.0889937413994421
4,2012,7,12,"2012-07-12",1.72420913216196,0.0631989934668414,-0.14145983429933,0.757096725442569,-2.05415447217516,-1.84768546405198,-1.19589711881875,1.88266482860432,0.814963057857299,-0.137599950115358,-0.589154395613699,0.0159912742982878
4,2012,8,9,"2012-08-09",1.7799809469553,0.113924789304072,-0.147804170725985,0.432947235200118,-2.05415447217516,-1.84768546405198,-0.100247543502792,1.88266482860432,1.0849474042103,-0.137599950115358,-0.589154395613699,0.0509862795308645
1,2012,9,17,"2012-09-17",0.964318155602686,-0.00263661389637254,-0.144122889095703,0.757096725442569,-2.08171049160137,-1.84768546405198,-1.19589711881875,1.12439213873607,0.220997495880702,-0.137599950115358,-0.589154395613699,-1.07760263921973
4,2020,9,10,"2020-09-10",1.26409166011689,0.113385153178144,-0.138796779502956,-3.50315371774394,-1.47547806422484,-1.84768546405198,-1.19589711881875,1.12439213873607,1.48317431508097,-0.137599950115358,1.69676465936745,-1.99622152657487
2,2017,9,26,"2017-09-26",0.92248929450768,0.0907204358891685,-0.145297766211751,-2.66962645712049,-1.7510382584869,-1.84768546405198,-1.19589711881875,1.12439213873607,0.949955231033799,-0.12817163438676,1.69676465936745,0.707142627641677
1,2014,11,10,"2014-11-10",-0.311462107794996,-0.0339355092001956,-0.143417962826075,0.571868445304025,-1.58570214192966,-1.84768546405198,-1.19589711881875,-0.116417717411981,-0.399966500731195,-0.137599950115358,-0.589154395613699,-0.132737497940163
1,2016,7,11,"2016-07-11",0.727287942730985,0.0534855432001377,-0.145297766211751,0.710789655407933,-1.33769796709381,-1.84768546405198,-1.19589711881875,0.64185497245627,0.6799708846808,-0.136814257137975,-0.589154395613699,0.374690077932199
1,2019,7,8,"2019-07-08",0.852774526016004,0.044311729059362,-0.146942594174217,0.757096725442569,-1.53059010307725,-1.84768546405198,-1.19589711881875,0.986524376941839,0.61247479809255,-0.137599950115358,-0.589154395613699,0.14722254392045
5,2014,7,18,"2014-07-18",1.18043393792688,0.0588819044594175,-0.142243085710028,0.571868445304025,-1.3101419476676,-1.84768546405198,-1.19589711881875,1.26225990053029,1.2199395773868,-0.134457178205826,-0.589154395613699,0.427182585781063
4,2016,9,22,"2016-09-22",1.01311849354686,0.0502477264445698,-0.142086435427888,0.757096725442569,-1.66837020020828,-1.84768546405198,-1.19589711881875,1.26225990053029,0.875709535786724,-0.137599950115358,-0.589154395613699,0.742137632874253
5,2012,7,13,"2012-07-13",1.82878128489948,0.0658971740964813,-0.14138150915826,0.710789655407933,-1.86126233619172,-1.84768546405198,-1.19589711881875,1.82062433579691,1.2199395773868,-0.137599950115358,-0.589154395613699,0.243458808310036
